config,trial,sender_id,policy,avg_rtt_ms,avg_throughput_mbps,avg_loss_pct,avg_reward
hybrid_only,9,0,hybrid,669.2622037887573,2.233000010251999,0.055594452724877744,-4.57081093308533
hybrid_only,9,1,hybrid,696.4368034362793,3.0864999890327454,0.02804961331179263,-3.933967271953633
hybrid_only,9,2,hybrid,669.2344270706177,2.0507500052452086,0.1522355164549422,-4.946065298370852
hybrid_only,9,3,hybrid,695.7703006744384,2.165749979019165,0.055443583020932274,-4.9028401937670845
2ppo_2hybrid,0,0,ppo,974.4369089126587,3.315750020742416,0.06251763966215748,-6.553654347708485
2ppo_2hybrid,0,1,ppo,1002.9688213348388,2.0947499930858613,0.15408547161771746,-8.243109163497962
2ppo_2hybrid,0,2,hybrid,1002.5093528747559,2.4217499911785128,0.09025081175139414,-7.783845161071835
2ppo_2hybrid,0,3,hybrid,997.9322525024414,1.7398249879479408,0.12465818587155109,-8.488813908819576
2ppo_2hybrid,1,0,ppo,833.4809745788574,3.8692500412464144,0.0484084273838711,-4.562376559309902
2ppo_2hybrid,1,1,ppo,831.5085731506348,1.9325000196695328,0.05124066206509037,-6.485067035966996
2ppo_2hybrid,1,2,hybrid,831.0002719879151,1.9300000220537186,0.07861103111952292,-6.537224760064478
2ppo_2hybrid,1,3,hybrid,829.142183303833,1.7654999881982802,0.06567730405133157,-6.657276452942713
2ppo_2hybrid,2,0,ppo,969.9163753509522,3.21424999833107,0.06783968418549914,-6.62059312354945
2ppo_2hybrid,2,1,ppo,963.4353210449219,1.765950009226799,0.10549623299177176,-8.079395667205963
2ppo_2hybrid,2,2,hybrid,966.3776191711426,2.318250000476837,0.036250647535939255,-7.418027486306467
2ppo_2hybrid,2,3,hybrid,963.5843372344971,2.1797500014305116,0.12604470692651767,-7.708182784767494
2ppo_2hybrid,3,0,ppo,858.1109043121338,2.701250022649765,0.06192418475707765,-6.0037073899857285
2ppo_2hybrid,3,1,ppo,857.1717990875244,1.4580000206828116,0.08443960539050886,-7.2825971809734495
2ppo_2hybrid,3,2,hybrid,859.0940010070801,2.414000004529953,0.03971544271239504,-6.256370890965638
2ppo_2hybrid,3,3,hybrid,830.3350715637207,2.9075000047683717,0.051170092438932724,-5.498190895746701
2ppo_2hybrid,4,0,ppo,794.8483806610108,1.3996000170707703,0.11837373948617383,-6.785631268511684
2ppo_2hybrid,4,1,ppo,852.8434829711914,3.0945000290870666,0.08932799734584257,-5.612590795316533
2ppo_2hybrid,4,2,hybrid,853.3896987915039,2.2519999772310255,0.11321436694742756,-6.508325744578869
2ppo_2hybrid,4,3,hybrid,853.0206157684327,2.741499996185303,0.0579256720343717,-5.904557505567767
2ppo_2hybrid,5,0,ppo,670.4904991149903,1.7272500097751617,0.11589345006906324,-5.209441881512867
2ppo_2hybrid,5,1,ppo,672.4681774139405,3.100250023603439,0.05643257021467859,-3.7372968909653226
2ppo_2hybrid,5,2,hybrid,671.3331977844239,2.5104999780654906,0.11520891894292133,-4.43324983766459
2ppo_2hybrid,5,3,hybrid,670.9946231842041,2.1962499916553497,0.06620137281014846,-4.646098985806988
2ppo_2hybrid,6,0,ppo,1103.032844543457,1.7480000227689743,0.048879789996708826,-9.380088002659013
2ppo_2hybrid,6,1,ppo,1107.1811981201172,2.204500025510788,0.06854782399749368,-9.00440760368537
2ppo_2hybrid,6,2,hybrid,1106.8900478363037,2.3782500118017196,0.08361434542511477,-8.857879157411547
2ppo_2hybrid,6,3,hybrid,1110.849698638916,3.215499997138977,0.039255812176291406,-7.971508613602767
2ppo_2hybrid,7,0,ppo,895.6984298706054,1.9691499903798104,0.0949484314845492,-7.177731171295344
2ppo_2hybrid,7,1,ppo,895.6107921600342,2.0050999954342843,0.11236003177636526,-7.175727989718789
2ppo_2hybrid,7,2,hybrid,896.8128242492676,2.2105000019073486,0.055308179937895253,-6.868244600461118
2ppo_2hybrid,7,3,hybrid,899.6352523803711,3.3175000071525576,0.04102496999434478,-5.760902456639843
2ppo_2hybrid,8,0,ppo,818.6241054534912,1.4386500112712384,0.17864145425675987,-7.1048739517771935
2ppo_2hybrid,8,1,ppo,822.7371006011963,2.3937500178813935,0.10588357821062981,-6.045388144551829
2ppo_2hybrid,8,2,hybrid,824.5524326324463,3.3510000109672546,0.061853659142496874,-5.018231633642202
2ppo_2hybrid,8,3,hybrid,817.0093521118164,2.341250005364418,0.03799286439518999,-5.904829244544127
2ppo_2hybrid,9,0,ppo,736.3489052772522,2.430250009894371,0.0387273089268499,-5.010693660731851
2ppo_2hybrid,9,1,ppo,743.1443538665771,2.8350000202655794,0.050374956068703916,-4.697193430537601
2ppo_2hybrid,9,2,hybrid,740.510495376587,2.2164999932050704,0.06869907476252196,-5.326003110085843
2ppo_2hybrid,9,3,hybrid,740.7649997711181,2.037275017797947,0.20313272806057112,-5.776640436034377
