run,trial,step,rtt_ms,throughput_mbps,reward
ppo_hybrid_tree,2,36,435.985,9.56,5.017466413951274
ppo_hybrid_tree,2,37,445.036,9.56,4.931997881031266
ppo_hybrid_tree,2,38,450.661,9.56,4.880465411009053
ppo_hybrid_tree,2,39,454.653,9.56,4.8450289520009395
ppo_hybrid_tree,3,0,48.64,5.74,5.253599777221679
ppo_hybrid_tree,3,1,47.043,6.69,4.721442723720708
ppo_hybrid_tree,3,2,45.945,7.65,5.38468102392709
ppo_hybrid_tree,3,3,40.183,7.51,5.440113528381296
ppo_hybrid_tree,3,4,40.447,9.53,7.860507609121864
ppo_hybrid_tree,3,5,40.4,7.8,6.1420816801782685
ppo_hybrid_tree,3,6,41.763,9.25,7.791155244574889
ppo_hybrid_tree,3,7,47.428,9.56,8.210127556253548
ppo_hybrid_tree,3,8,54.309,9.14,7.841242855946423
ppo_hybrid_tree,3,9,59.483,9.55,8.289797287590126
ppo_hybrid_tree,3,10,64.27,9.56,8.322946812769988
ppo_hybrid_tree,3,11,70.158,9.56,8.321867799074518
ppo_hybrid_tree,3,12,75.024,9.56,8.32046376277912
ppo_hybrid_tree,3,13,79.456,9.56,8.315580987867731
ppo_hybrid_tree,3,14,41.849,9.3,8.392768709838942
ppo_hybrid_tree,3,15,49.541,9.56,8.610118739278727
ppo_hybrid_tree,3,16,55.529,9.56,8.58008197622441
ppo_hybrid_tree,3,17,61.653,9.56,8.544837163434213
ppo_hybrid_tree,3,18,66.466,9.56,8.519803904750315
ppo_hybrid_tree,3,19,70.996,9.56,8.495295687141066
ppo_hybrid_tree,3,20,75.472,9.56,8.46894408205966
ppo_hybrid_tree,3,21,79.599,9.56,8.444266224746034
ppo_hybrid_tree,3,22,83.861,9.56,8.41657874907384
ppo_hybrid_tree,3,23,87.496,9.43,8.263919468064843
ppo_hybrid_tree,3,24,91.335,9.44,8.24795943327302
ppo_hybrid_tree,3,25,94.7,9.57,8.355798656537521
ppo_hybrid_tree,3,26,98.776,9.56,8.315548073950819
ppo_hybrid_tree,3,27,101.854,9.57,8.304459026339362
ppo_hybrid_tree,3,28,104.198,9.56,8.280107277451968
ppo_hybrid_tree,3,29,119.969,9.56,8.130990172596274
ppo_hybrid_tree,3,30,140.131,9.57,7.94746826930173
ppo_hybrid_tree,3,31,165.712,9.56,7.689254056910606
ppo_hybrid_tree,3,32,194.728,9.56,7.40627644929054
ppo_hybrid_tree,3,33,227.011,9.56,7.09020419635917
ppo_hybrid_tree,3,34,263.461,9.57,6.7420195437268005
ppo_hybrid_tree,3,35,304.092,9.56,6.331739220028977
ppo_hybrid_tree,3,36,347.96,9.57,5.90877030440421
ppo_hybrid_tree,3,37,396.558,9.56,5.418219915470072
ppo_hybrid_tree,3,38,448.67,9.56,4.902255691570266
ppo_hybrid_tree,3,39,505.456,9.56,4.339307814290603
ppo_hybrid_tree,4,0,48.156,5.74,5.258439788818359
ppo_hybrid_tree,4,1,47.026,6.69,4.718801961150894
ppo_hybrid_tree,4,2,45.84,7.65,5.383690489321778
ppo_hybrid_tree,4,3,40.403,7.5,5.0825471824287565
ppo_hybrid_tree,4,4,40.535,9.52,7.589872822694887
ppo_hybrid_tree,4,5,40.446,7.78,5.90880370709083
ppo_hybrid_tree,4,6,40.341,9.53,7.908138910132558
ppo_hybrid_tree,4,7,47.499,9.56,8.05936938848251
ppo_hybrid_tree,4,8,40.673,9.41,7.97762881841415
ppo_hybrid_tree,4,9,44.997,9.57,8.2186212276405
ppo_hybrid_tree,4,10,51.923,9.35,8.026952241966097
ppo_hybrid_tree,4,11,43.09,9.57,8.319427562150798
ppo_hybrid_tree,4,12,48.929,9.57,8.334441029562878
ppo_hybrid_tree,4,13,54.674,9.56,8.328459204328544
ppo_hybrid_tree,4,14,60.26,9.56,8.324377753088548
